CountyName,yw,weeklyCasesSum,weeklyCases,PopulationCensus16
Cavan,2020-04-12,431.70702433462355,-10.689531010891812,76176
Cavan,2020-04-19,653.1866054550364,-61.69922285234213,76176
Cavan,2020-04-26,845.5981636510937,-37.69466198577723,76176
Cavan,2020-05-03,955.869115131875,-53.07258379092042,76176
Cavan,2020-05-10,1014.942839139436,30.943379242055812,76176
Cavan,2020-05-17,1061.6392114501743,38.81987577639745,76176
Cavan,2020-05-24,1090.14462747922,-5.81360458486995,76176
Cavan,2020-05-31,1116.5871515587958,16.128064332222948,76176
Cavan,2020-06-07,1126.15146877907,-14.81531490983184,76176
Cavan,2020-06-14,1129.33957451916,10.501995379117261,76176
Cavan,2020-06-21,1132.52768025925,6.3762114801845655,76176
Cavan,2020-06-28,1134.02796531341,-1.687820685930319,76176
Cavan,2020-07-05,1136.84099978996,3.000570108320062,76176
Cavan,2020-07-12,1139.65403426651,-1.3127494223899703,76176
Cavan,2020-07-19,1140.77924805713,-1.6878206859300917,76176
Cavan,2020-07-26,1144.90503195607,4.688390794250154,76176
Cavan,2020-08-02,1155.03195607165,3.000570108320062,76176
Cavan,2020-08-09,1157.8449905482,-13.315029855670218,76176
Cavan,2020-08-16,1158.59513307528,5.2509976895601085,76176
Cavan,2020-08-23,1166.6591652413986,9.376781588508493,76176
Cavan,2020-08-30,1176.22348246167,-5.813604584885525,76176
Cavan,2020-09-06,1185.03765715486,-2.2504275812345895,76176
Cavan,2020-09-13,1195.91472379752,2.8130344765518203,76176
Cavan,2020-09-20,1215.4184295016057,6.563747111955308,76176
Cavan,2020-09-27,1263.6150868665043,20.066312599387402,76176
Cavan,2020-10-04,1415.1438773366958,74.63918144448007,76176
Cavan,2020-10-11,1882.6702073393942,212.66540642721384,76176
Cavan,2020-10-18,2393.5172682809743,-272.6768085936251,76176
Cavan,2020-10-25,2661.318150448584,-286.366909712852,76176
Cavan,2020-11-01,2738.39529510607,52.32244126384626,76176
Cavan,2020-11-08,2783.4038467308787,158.6551444774468,76176
Cavan,2020-11-15,2833.1007891499385,36.75698382692826,76176
Cavan,2020-11-22,2863.8566327602257,-23.629489603023558,76176
Cavan,2020-11-29,2890.2991568398,14.627779278059734,76176
Cavan,2020-12-06,2941.8714555765587,29.443094187896804,76176
Cavan,2020-12-13,3036.9520208839685,18.378491913467315,76176
Cavan,2020-12-20,3129.782158610136,-45.758694151893906,76176
Cavan,2020-12-27,3399.270861463677,178.90899270861655,76176
Cavan,2021-01-03,4245.056560746543,399.63843130195073,76176
Cavan,2021-01-10,4907.244876526542,-759.8943799321924,76176
Cavan,2021-01-17,5321.323551474779,-64.51225732889316,76176
Cavan,2021-01-24,5528.73796021244,41.44537462118387,76176
Cavan,2021-01-31,5656.637261079606,127.14915834008207,76176
Cavan,2021-02-07,5809.103729708644,104.08227563236687,76176
Cavan,2021-02-14,5932.314639781557,-53.82272631799697,76176
Cavan,2021-02-21,6020.831457977016,-5.438533321329487,76176
Cavan,2021-02-28,6073.341434872625,-1.3127494223954272,76176
Cavan,2021-03-07,6103.15960032406,13.315029855676585,76176
Cavan,2021-03-14,6152.85654274312,42.57058841179787,76176
Cavan,2021-03-21,6213.055480541304,-9.376781588501217,76176
Cavan,2021-03-28,6321.638611336154,37.88219761754317,76176
Cavan,2021-04-04,6400.591112311338,-78.01482281633253,76176
Cavan,2021-04-11,6462.2903351636805,12.377351696824007,76176
Cavan,2021-04-18,6509.736850001502,3.0005701083209715,76176
Cavan,2021-04-25,6570.685930326763,27.7552735019608,76176
Cavan,2021-05-02,6654.889428991507,9.751852852043157,76176
Cavan,2021-05-09,6708.89969094128,-53.44765505445412,76176
Cavan,2021-05-16,6780.163231013894,47.446514837812174,76176
Cavan,2021-05-23,6845.050559606326,-23.629489603023103,76176
Cavan,2021-05-30,6907.499924985747,3.93824826717173,76176
Cavan,2021-06-06,6959.07222372251,-8.43910342964864,76176
Cavan,2021-06-13,6986.639961592701,-13.127494223912436,76176
Cavan,2021-06-20,7020.58391094308,30.38077234675893,76176
Cavan,2021-06-27,7046.838899390884,-14.065172382762285,76176
Cavan,2021-07-04,7100.849161340654,35.44423440454102,76176
Cavan,2021-07-11,7166.674168091937,-15.940528700453797,76176
Cavan,2021-07-18,7320.8284574069085,76.51453776217659,76176
Cavan,2021-07-25,7475.920424880727,-87.39160440484193,76176
Cavan,2021-08-01,7675.083265820505,43.133195307112146,76176
Cavan,2021-08-08,8042.840639721548,124.52365949530486,76176
Cavan,2021-08-15,8676.14846820896,96.95592162510547,76176
Cavan,2021-08-22,9264.260209439793,-310.7465418429474,76176
Cavan,2021-08-29,9698.217661355658,-108.95820205839118,76176
Cavan,2021-09-05,10023.9670537402,45.94622978364532,76176
Cavan,2021-09-12,10249.197347496043,7.688960902625695,76176
Cavan,2021-09-19,10487.367599843972,113.4590572207835,76176
Cavan,2021-09-26,10742.040987787672,3.5631770036852686,76176
Cavan,2021-10-03,10973.084886128372,-40.132625198770256,76176
Cavan,2021-10-10,11222.319740750729,41.82044588465578,76176
Cavan,2021-10-17,11516.188075734372,26.442524079629948,76176
Cavan,2021-10-24,11809.493803822743,-45.1960872565578,76176
Cavan,2021-10-31,12190.378671947687,88.14174693184395,76176
Cavan,2021-11-07,12721.104509856887,62.261829747683805,76176
Cavan,2021-11-14,13419.112131304943,17.44081375459973,76176
Cavan,2021-11-21,14068.172952861029,-216.2285834308259,76176
Cavan,2021-11-28,14569.830767845886,-98.45620667925868,76176
Cavan,2021-12-05,15048.984307018329,124.89873075881405,76176
Cavan,2021-12-12,15472.814834818613,56.77641251838941,76176
Cavan,2021-12-19,16054.73790020103,-51.05657574939232,76176
